HTTrack3.49-2 launched on Fri, 02 Dec 2022 01:32:05 at https://vancouver-art.com
(winhttrack https://vancouver-art.com -O "Hotton marketplace/Daneil" -%v )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Collection.aspx?c=1753 (from https://vancouver-art.com/item.aspx?t=1360)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Collection.aspx?c=2014 (from https://vancouver-art.com/item.aspx?t=1384)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/collections.aspx?a=162 (from https://vancouver-art.com/author.aspx?a=162)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/collections.aspx?a=19 (from https://vancouver-art.com/author.aspx?a=19)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/collections.aspx?a=10 (from https://vancouver-art.com/author.aspx?a=10)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/collections.aspx?a=24 (from https://vancouver-art.com/author.aspx?a=24)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Author.aspx?a=2428 (from https://vancouver-art.com/item.aspx?t=1510)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Collection.aspx?c=2146 (from https://vancouver-art.com/item.aspx?t=1510)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1522 (from https://vancouver-art.com/item.aspx?t=1510)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1585 (from https://vancouver-art.com/item.aspx?t=1510)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1579 (from https://vancouver-art.com/item.aspx?t=1510)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1573 (from https://vancouver-art.com/item.aspx?t=1510)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1525 (from https://vancouver-art.com/item.aspx?t=1510)
